Posicoes do VANT [X Y Z qX qY qZ qW]

[
 1.61895e-319 6.90241e-310 2.71736e-322 -nan -nan -nan -nan;
 0.825356 0.216464 8.54642 -0.282141 -0.215075 0.921824 -0.156141;
 0.581087 0.569334 8.54665 -0.231219 -0.259661 0.926608 -0.143215;
 0.42255 0.78922 8.54482 -0.180158 -0.295856 0.929317 -0.12799;
 0.147184 1.12359 8.54077 -0.13927 -0.322093 0.929332 -0.114898;
 -0.0788594 1.36402 8.53773 -0.129204 -0.328258 0.928888 -0.112783;
 -0.299842 1.57135 8.53637 -0.0776473 -0.336521 0.933198 -0.0993275;
 -0.675498 1.86146 8.54031 0.032901 -0.268618 0.961026 -0.0564924;
 -1.08352 2.12272 8.54879 0.15749 -0.200424 0.965489 -0.0534591;
 -1.33774 2.25666 8.54468 0.227264 -0.195889 0.953861 -0.0113193;
 -1.70391 2.44216 8.48131 0.318424 -0.117556 0.93971 0.0416152;
 -2.07778 2.58793 8.37915 0.217987 -0.0172625 0.973193 0.0712654;
 -2.3857 2.63543 8.34189 0.140526 0.111799 0.981282 0.0695592;
 -2.59129 2.63014 8.36369 0.154813 0.23966 0.956655 0.0583676;
 -2.68945 2.61205 8.38159 0.166214 0.277116 0.94472 0.0555227;
 -2.79457 2.56179 8.3936 0.185563 0.30712 0.93211 0.0491423;
 -2.81309 2.47084 8.41234 0.202176 0.302759 0.930389 0.0428625;
 -2.76482 2.35354 8.4286 0.213113 0.290976 0.931942 0.0374298;
 -2.65401 2.19678 8.44273 0.200113 0.30402 0.930563 0.0397457;
 -2.5586 2.08872 8.45002 0.193737 0.29397 0.935164 0.038938;
 -2.37854 1.90934 8.46304 0.210567 0.286672 0.934189 0.0277676;
 -2.14125 1.69495 8.47489 0.218881 0.274807 0.936026 0.0206446;
 -1.97915 1.55115 8.48079 0.222555 0.26973 0.936726 0.0161036;
 -1.71193 1.32064 8.49114 0.222645 0.268689 0.93707 0.0116225;
 -1.39938 1.0513 8.50411 0.168684 0.166188 0.971559 0.000261732;
 -1.11126 0.800634 8.54088 -0.00971593 0.0993217 0.99499 -0.00603602;
 -0.823697 0.554316 8.57305 0.0349867 0.194018 0.980267 -0.0144833;
 -0.532797 0.32962 8.58818 0.124091 0.243035 0.961187 -0.0406856;
 -0.345843 0.192368 8.59961 0.160783 0.254962 0.95202 -0.0529208;
 -0.0324716 -0.0392 8.6129 0.191988 0.267199 0.941972 -0.0665864;
 0.274181 -0.268789 8.6266 0.164075 0.296285 0.938963 -0.0603542;
 0.628896 -0.524954 8.64026 0.147787 0.312801 0.936718 -0.0536129;
 0.971186 -0.757237 8.62431 0.115787 0.328255 0.936082 -0.0509116;
 1.19468 -0.907885 8.576 0.0694066 0.312799 0.946471 -0.0391424;
 1.57032 -1.13378 8.4809 -0.0649015 0.255764 0.964289 -0.0227706;
 1.92264 -1.3064 8.40045 -0.0771411 0.217611 0.972975 0.00392412;
 2.29419 -1.4504 8.32689 -0.109763 0.047561 0.992819 -0.000680461;
 2.57714 -1.53221 8.3135 -0.122033 -0.131379 0.983789 -0.00264143;
 2.781 -1.57221 8.3449 -0.140124 -0.284372 0.948393 -0.00700767;
 2.91508 -1.58105 8.37309 -0.167696 -0.314622 0.934095 -0.0188865;
 2.95962 -1.56816 8.38433 -0.193305 -0.307164 0.931299 -0.0310613;
 2.95116 -1.50266 8.41249 -0.214861 -0.299529 0.928581 -0.0430605;
 2.87764 -1.39986 8.43587 -0.232919 -0.29655 0.924803 -0.0504635;
 2.73892 -1.24385 8.45634 -0.245302 -0.270302 0.929207 -0.0577853;
 2.55155 -1.04314 8.48188 -0.14346 -0.14234 0.97665 -0.0728976;
